song_id,title,artist_genius_id,pseudonym,country,legal_status,period,release_date,compound,pos_prob,neg_prob,n_chunks
7488709,Neverland,23616,Noize MC,Литва,иноагент,after,2022-06-17,-0.019280624389648438,0.39696426391601564,0.4162448883056641,5
7928299,Аусвайс (Ausweis),23616,Noize MC,Литва,иноагент,after,2022-04-21,-0.6246028542518616,0.12513238191604614,0.7497352361679077,2
10193842,Столітня Війна (Hundred Years’ War),23616,Noize MC,Литва,иноагент,after,2022-03-28,-0.22338597973187765,0.31590066353480023,0.5392866432666779,3
7787793,Экранное время (Screen Time),23616,Noize MC,Литва,иноагент,after,2022-03-11,-0.21851932009061178,0.1767349143822988,0.3952542344729106,3
7481207,Песня предателя (Traitor’s song),23616,Noize MC,Литва,иноагент,before,2021-12-17,-0.336821327606837,0.18238467971483865,0.5192060073216757,3
7481205,Трансгуманизм 2.0 (Transhumanism 2.0),23616,Noize MC,Литва,иноагент,before,2021-12-17,0.0,0.15131594985723495,0.15131594985723495,4
7481203,Вуду (Voodoo),23616,Noize MC,Литва,иноагент,before,2021-12-17,-0.26231685280799866,0.1862449198961258,0.44856177270412445,2
7481211,Первые симптомы (First Symptoms),23616,Noize MC,Литва,иноагент,before,2021-12-17,-0.16646283864974976,0.2085343301296234,0.37499716877937317,2
6865370,"Бизнесмен, что продал мир (The Man Who Sold the World)",23616,Noize MC,Литва,иноагент,before,2021-12-17,-0.6301989257335663,0.1232670247554779,0.7534659504890442,1
7481215,Опыт отсутствия (Experience of Absence),23616,Noize MC,Литва,иноагент,before,2021-12-17,0.0,0.23446623980998993,0.23446623980998993,2
7462811,Сопротивление воздуха (Windage),23616,Noize MC,Литва,иноагент,before,2021-12-06,0.0,0.14417001605033875,0.14417001605033875,3
7403981,Паучьими тенётами (Spider Shades),23616,Noize MC,Литва,иноагент,before,2021-11-19,0.0,0.25378766655921936,0.25378766655921936,1
7403977,Сельма Лагерлёф (Selma Lagerlöf),23616,Noize MC,Литва,иноагент,before,2021-11-19,-0.7661696672439575,0.07794344425201416,0.8441131114959717,1
7403976,Миокард (Myocardium),23616,Noize MC,Литва,иноагент,before,2021-11-19,-0.21239172418912253,0.1911241114139557,0.4035158356030782,3
7403980,Инстинкт (Instinct),23616,Noize MC,Литва,иноагент,before,2021-11-19,-0.6286421120166779,0.12378596266110738,0.7524280746777853,3
7411048,Всё как у людей (Трибьют Егору Летову) (Everything is Like People’s) (Egor Letov Tribute),23616,Noize MC,Литва,иноагент,before,2021-11-19,-0.1992502138018608,0.1272244080901146,0.3264746218919754,4
7403975,Выход в город (Exit to the City),23616,Noize MC,Литва,иноагент,before,2021-11-19,0.0,0.09461650252342224,0.09461650252342224,3
7403978,Двадцатые годы (Twenties),23616,Noize MC,Литва,иноагент,before,2021-11-19,-0.2590189278125763,0.24699369072914124,0.5060126185417175,1
7403983,Вереница (String),23616,Noize MC,Литва,иноагент,before,2021-11-19,0.0,0.08364862203598022,0.08364862203598022,2
7403979,Столетняя война (Hundred Years War),23616,Noize MC,Литва,иноагент,before,2021-11-19,-0.5047759711742401,0.1650746762752533,0.6698506474494934,1
7403982,Букет крапивы (Nettle Bouquet),23616,Noize MC,Литва,иноагент,before,2021-11-19,-0.08564593642950058,0.28411194682121277,0.36975788325071335,2
7325438,Трансгуманизм (Transhumanism),23616,Noize MC,Литва,иноагент,before,2021-11-12,-0.13074703514575958,0.24348342418670654,0.3742304593324661,2
7214581,Демка (Demo),23616,Noize MC,Литва,иноагент,before,2021-09-17,-0.39289695024490356,0.18245479092001915,0.5753517411649227,4
7084135,Моё море (Метал версия) (My Sea (Metal Version)) [Live @ ЦКиО],23616,Noize MC,Литва,иноагент,before,2021-06-06,-0.31869978706041974,0.1926808754603068,0.5113806625207266,3
6656833,Закипает чайник (Kettle Is Boiling) (Bonus Track),23616,Noize MC,Литва,иноагент,before,2021-04-01,0.0,0.13239987194538116,0.13239987194538116,4
