song_id,title,pseudonym,period,release_date,dominant_topic,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
13520340,Спящая красавица (Sleeping Beauty),Noize MC,after,2026-05-07,2,0.0011369329068917186,0.0011364812339440253,0.7973201152052536,0.0011366028723181912,0.19358670906168243,0.0011366326949985995,0.001136539831084589,0.0011366204851808541,0.0011367751802613358,0.0011365905283847355
13488863,«Свободная тема» (”Free topic”),Noize MC,after,2026-05-01,2,0.34745369006029136,0.0010103842425804152,0.415344717157688,0.0010102119393004187,0.09524507245047259,0.0010102075822601827,0.001010279477826159,0.1358947423764721,0.0010104296785763372,0.00101026503453252
12852701,Тепер я знаю (Now I Know),Noize MC,after,2026-03-20,7,0.0014087187180134642,0.0014087272236500564,0.0014086870363604048,0.0014084939310001093,0.0014085718729035203,0.0014085093484348086,0.0014085562259291428,0.9873215967908366,0.0014089577662213845,0.001409181086650421
12787708,Улица Авеля (Abel Street),Noize MC,after,2025-12-05,7,0.0015629945692084081,0.0015625862579159019,0.0015630987354374522,0.0015628913912032326,0.001562907182548229,0.0015628464820162328,0.0015625543860252093,0.9859343039584122,0.001563002693723185,0.0015628143435099824
12786267,Пчёлы слов (Bees of Words),Noize MC,after,2025-12-05,6,0.0009435446212941695,0.0009434518256303313,0.0009436591605254048,0.0009436341826704032,0.0009435571862899816,0.0009434190246204313,0.9915081684532957,0.0009435316746671768,0.0009435414214546336,0.0009434924495516211
12764793,Чернокнижник (The Warlock),Noize MC,after,2025-12-05,2,0.0010529068593638788,0.0010527301751200877,0.906564445680402,0.0010528574824089645,0.0010528910323815593,0.05475043992243215,0.0010530129946581034,0.001052886460335368,0.03131512892409434,0.0010527004688035437
12388324,Планета Земля (Planet Earth),Noize MC,after,2025-09-10,3,0.0008001954608272845,0.0008001692088822081,0.0008002873398295261,0.8740793495775857,0.11951922125399254,0.0008001475090545684,0.0008001305162748816,0.0008002602108007422,0.000800150242907702,0.0008000886798448839
11857180,из окна (Remix),Noize MC,after,2025-05-12,4,0.0005525514974445296,0.000552510338350766,0.0005527004396085652,0.0005526108503014876,0.995026651568932,0.0005525552096831035,0.0005525783960111635,0.000552618157312242,0.0005525455409803661,0.0005526780013757767
11937119,Чёрный Ящик (The black box),Noize MC,after,2025-03-26,1,0.0012659383334587668,0.9886065885612884,0.0012659451681261264,0.0012660507079128845,0.0012660165279070796,0.0012658543624191744,0.0012659003188812182,0.001265916555849601,0.001265929143206711,0.0012658603209498927
11584360,Молчанка (Quiet Game),Noize MC,after,2025-03-14,6,0.002174602757152835,0.0021740271197293773,0.35654919740175073,0.10163207006420708,0.0021741872162174317,0.0021741463002878797,0.5265984421887,0.0021744463323729,0.002174580221855854,0.0021743003977258086
