song_id,title,artist_genius_id,pseudonym,country,legal_status,period,release_date,reloc_date,total_words,pos_count,neg_count,tonal_count,sentiment_ratio,polarity,pos_ratio,neg_ratio,tonal_density
4178614,Красота (это страшная сила) (Beauty (Is A Terrible Power)),1365487,Борис Гребенщиков,Великобритания,иноагент,before,2005-04-12,2022-03-01,262,9,1,10,0.030534351145038167,0.8,0.03435114503816794,0.003816793893129771,0.03816793893129771
4190104,Маша и медведь (Masha and the Bear),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1999-12-15,2022-03-01,143,1,1,2,0.0,0.0,0.006993006993006993,0.006993006993006993,0.013986013986013986
4115348,Быстрый светлый (Fast and light),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1997-01-01,2022-03-01,111,8,2,10,0.05405405405405406,0.6,0.07207207207207207,0.018018018018018018,0.09009009009009009
4190181,Пока несут сакэ (While They’re Bringing Sake),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1999-12-15,2022-03-01,189,0,0,0,0.0,0.0,0.0,0.0,0.0
4177980,Трамонтана (Tramontane),1365487,Борис Гребенщиков,Великобритания,иноагент,before,2005-04-12,2022-03-01,245,0,1,1,-0.004081632653061225,-1.0,0.0,0.004081632653061225,0.004081632653061225
5024173,По дороге в Дамаск (On the Way to Damascus),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1997-01-01,2022-03-01,207,1,2,3,-0.004830917874396135,-0.3333333333333333,0.004830917874396135,0.00966183574879227,0.014492753623188406
4190139,Сварог (Svarog),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1999-12-15,2022-03-01,225,16,0,16,0.07111111111111111,1.0,0.07111111111111111,0.0,0.07111111111111111
4940815,Лебединая сталь (Swan Steel),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1999-05-15,2022-03-01,100,0,1,1,-0.01,-1.0,0.0,0.01,0.01
4178014,Zoom Zoom Zoom,1365487,Борис Гребенщиков,Великобритания,иноагент,before,2005-04-12,2022-03-01,239,0,1,1,-0.0041841004184100415,-1.0,0.0,0.0041841004184100415,0.0041841004184100415
5024164,Болота Невы (Swamps of Neva),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1997-12-01,2022-03-01,130,0,0,0,0.0,0.0,0.0,0.0,0.0
5024104,Если бы не ты (If Not for You),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1997-12-01,2022-03-01,106,1,1,2,0.0,0.0,0.009433962264150943,0.009433962264150943,0.018867924528301886
3934715,Центр циклона (The Cyclone Center),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1996-01-01,2022-03-01,122,4,2,6,0.01639344262295082,0.3333333333333333,0.03278688524590164,0.01639344262295082,0.04918032786885246
5023567,Феечка (Little Fairy),1365487,Борис Гребенщиков,Великобритания,иноагент,before,2003-01-01,2022-03-01,137,5,0,5,0.0364963503649635,1.0,0.0364963503649635,0.0,0.0364963503649635
5024162,Из Калинина в Тверь (From Kalinin to Tver),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1997-11-01,2022-03-01,138,1,2,3,-0.007246376811594203,-0.3333333333333333,0.007246376811594203,0.014492753623188406,0.021739130434782608
4115359,Магистраль (Highway),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1997-01-01,2022-03-01,337,2,5,7,-0.008902077151335312,-0.42857142857142855,0.005934718100890208,0.01483679525222552,0.020771513353115726
3934834,Истребитель (Fighter),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1996-01-01,2022-03-01,158,4,1,5,0.0189873417721519,0.6,0.02531645569620253,0.006329113924050633,0.03164556962025317
3454721,Псалом 151 (Psalm 151),1365487,Борис Гребенщиков,Великобритания,иноагент,before,2002-02-20,2022-03-01,88,0,0,0,0.0,0.0,0.0,0.0,0.0
4115326,Апокриф (Apocrypha),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1997-01-01,2022-03-01,51,1,0,1,0.0196078431372549,1.0,0.0196078431372549,0.0,0.0196078431372549
4115289,Всадник между небом и землёй (Horseman between heaven and earth),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1997-01-01,2022-03-01,81,1,0,1,0.012345679012345678,1.0,0.012345679012345678,0.0,0.012345679012345678
3454665,Брод (Wade),1365487,Борис Гребенщиков,Великобритания,иноагент,before,2002-02-20,2022-03-01,89,1,2,3,-0.011235955056179775,-0.3333333333333333,0.011235955056179775,0.02247191011235955,0.033707865168539325
3934743,Древнерусская тоска (Old Russian Melancholy),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1996-01-01,2022-03-01,158,0,1,1,-0.006329113924050633,-1.0,0.0,0.006329113924050633,0.006329113924050633
5983832,Генерал (General),1365487,Борис Гребенщиков,Великобритания,иноагент,before,2000-11-17,2022-03-01,127,1,1,2,0.0,0.0,0.007874015748031496,0.007874015748031496,0.015748031496062992
3934839,Чёрный Брахман (Black Brahman),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1996-01-01,2022-03-01,164,1,4,5,-0.018292682926829267,-0.6,0.006097560975609756,0.024390243902439025,0.03048780487804878
3036088,Голубой огонек (Goluboy ogonyok),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1995-01-01,2022-03-01,63,0,3,3,-0.047619047619047616,-1.0,0.0,0.047619047619047616,0.047619047619047616
3934817,Инцидент в Настасьино (Incident in Nastasyino),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1996-01-01,2022-03-01,125,1,0,1,0.008,1.0,0.008,0.0,0.008
4190165,Телохранитель (Bodyguard),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1999-12-15,2022-03-01,97,0,0,0,0.0,0.0,0.0,0.0,0.0
3831013,Дядюшка Томпсон (Uncle Thompson),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1994-05-01,2022-03-01,44,1,0,1,0.022727272727272728,1.0,0.022727272727272728,0.0,0.022727272727272728
4190200,"Стоп, машина (Stop, Machine)",1365487,Борис Гребенщиков,Великобритания,иноагент,before,1999-12-15,2022-03-01,221,0,5,5,-0.02262443438914027,-1.0,0.0,0.02262443438914027,0.02262443438914027
3830962,Зачем? (Why?),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1994-05-01,2022-03-01,121,1,0,1,0.008264462809917356,1.0,0.008264462809917356,0.0,0.008264462809917356
5024165,На её стороне (On Her Side),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1997-12-01,2022-03-01,224,0,3,3,-0.013392857142857142,-1.0,0.0,0.013392857142857142,0.013392857142857142
3831008,Трачу свое время (Wasting My Time),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1994-05-01,2022-03-01,132,2,1,3,0.007575757575757576,0.3333333333333333,0.015151515151515152,0.007575757575757576,0.022727272727272728
7402104,Нежный вампир (Gentle Vampire),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1997-02-01,2022-03-01,103,4,4,8,0.0,0.0,0.038834951456310676,0.038834951456310676,0.07766990291262135
3839500,Из сияющей пустоты (From the Shining Emptiness),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1994-01-01,2022-03-01,232,1,2,3,-0.004310344827586207,-0.3333333333333333,0.004310344827586207,0.008620689655172414,0.01293103448275862
3851855,Голубой огонек (Blue Light),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1995-01-01,2022-03-01,116,0,2,2,-0.017241379310344827,-1.0,0.0,0.017241379310344827,0.017241379310344827
4115321,Ангел дождя (Angel of the Rain),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1997-01-01,2022-03-01,85,1,0,1,0.011764705882352941,1.0,0.011764705882352941,0.0,0.011764705882352941
3839502,Кострома mon amour (Kostroma Mon Amour),1365487,Борис Гребенщиков,Великобритания,иноагент,before,1994-01-01,2022-03-01,168,4,3,7,0.005952380952380952,0.14285714285714285,0.023809523809523808,0.017857142857142856,0.041666666666666664
